artist,facebook,twitter,website,genre,mtv
 Coyote Kolb ,,,,,http://www.mtv.com/artists/coyote-kolb/biography
 CiZZ  ,,,https://play.google.com/store/music/artist/CiZZ?id=Ao24lsdw2alqrrxuypa2wcpwvr4,Hip-Hop,http://www.mtv.com/artists/cizz/biography
 Matthew Koma ,http://www.facebook.com/108919209203142,http://www.twitter.com/matthewkoma,http://www.matthewkoma.com,Pop/Rock,http://www.mtv.com/artists/matthew-koma/biography
 Tanashee ,,http://www.twitter.com/http://youtube.com/sonicravexx,,Alternative,http://www.mtv.com/artists/tanashee/biography
 Jennifer Danielson ,,,,,http://www.cmt.com/artists/jennifer-danielson/biography
 Lauren Waterworth ,,,,,http://www.mtv.com/artists/lauren-waterworth/biography
 Paul Bura ,https://www.facebook.com/PaulBuraMusic,,,Jazz,http://www.mtv.com/artists/paul-bura/biography
 LaPret ,http://www.facebook.com/10960418803,http://twitter.com/LaPretDC,,Hip-Hop/Rap,http://www.mtv.com/artists/lapret/biography
 John & Jacob ,http://www.facebook.com/johnandjacob,http://www.twitter.com/http://www.johnandjacob.com,http://www.johnandjacob.com,Alternative Country,http://www.cmt.com/artists/john-jacob/biography
 James Arthur ,http://www.facebook.com/470432503008715,http://www.twitter.com/jamesarthur23,,Rock,http://www.mtv.com/artists/james-arthur/biography
 Tommy Jennings ,,,,,http://www.cmt.com/artists/tommy-jennings-1/biography
 Alexis Spight ,,,,Inspirational,http://www.mtv.com/artists/alexis-spight/biography
 Dj Arwen ,http://www.facebook.com/138998329522710,http://twitter.com/djarwenn,http://www.djarwen.net,Electronic,http://www.mtv.com/artists/dj-arwen/biography
 B. Smyth ,http://www.facebook.com/395300767201959,http://www.twitter.com/therealbsmyth,,R&B,http://www.mtv.com/artists/b-smyth/biography
 Moon Eyes Low ,,,http://smokedoutlow.tumblr.com,Hip-Hop/Rap,http://www.mtv.com/artists/moon-eyes-low/biography
 Tim Utfeld ,,,,,http://www.mtv.com/artists/tim-utfeld/biography
 Lovari ,http://www.facebook.com/110622148948788,http://twitter.com/Lovari,http://www.LovariWorld.com,Pop,http://www.mtv.com/artists/lovari/biography
 H-Town's_YattaBezzy ,http://www.facebook.com/226874974035584,http://www.twitter.com/htybezzy,,New Wave,http://www.mtv.com/artists/h-towns-yattabezzy/biography
 Sunny Smith ,,,http://www.sunnydazemedia.com,Hip-Hop/Rap,http://www.mtv.com/artists/sunny-smith/biography
 Chelsea Dyer ,,,http://www.chelseadyer.com,Pop/Rock,http://www.mtv.com/artists/chelsea-dyer/biography
 Brian Glenn ,,,,,http://www.cmt.com/artists/brian-glenn/biography
 Jonathan Dale ,,http://twitter.com/JonDaleOfficial,http://www.jonathandalemusic.com,Country,http://www.cmt.com/artists/jonathan-dale/biography
 Becca Rae ,,,http://www.beccaraemusic.com,Singer/Songwriter,http://www.mtv.com/artists/becca-rae/biography
 Mapei ,http://www.facebook.com/mapeimusic,http://www.twitter.com/mapei,,Pop,http://www.mtv.com/artists/mapei/biography
 Natalia Lafourcade feat. Paco Familiar (DLD) ,,,,,http://www.mtv.com/artists/natalia-lafourcade-feat-paco-familiar-dld/biography
 Diggy Dre ,http://www.facebook.com/104501859720594,http://www.twitter.com/TheRealDiggyDre,http://www.VindictiveRecords.com,West Coast Rap,http://www.mtv.com/artists/diggy-dre/biography
 Justin Sketch ,,,http://Facebook.com/JustinSketchler,Hip-Hop/Rap,http://www.mtv.com/artists/justin-sketch/biography
 Moses Stone ,http://www.facebook.com/214357601951472,,http://www.iammosesstone.com,Hip-Hop/Rap,http://www.mtv.com/artists/moses-stone/biography
 Emina Jahovic ,,,,,http://www.mtv.com/artists/emina-jahovic-1/biography
 Inside the Whale ,,,,,http://www.mtv.com/artists/inside-the-whale-1/biography
 Dj suiss ,http://www.facebook.com/aaronsuissa1?fref=ts,,,Electronic,http://www.mtv.com/artists/dj-suiss/biography
 Doe Hicks ,,http://www.twitter.com/doehicks,,Dirty South,http://www.mtv.com/artists/doe-hicks/biography
 Joey Bounce ,,,http://www.soundcloud.com/beatsbybounce,Britpop,http://www.mtv.com/artists/joey-bounce/biography
 Peter Nielsen ,,,,,http://www.mtv.com/artists/peter-nielsen/biography
 Malikai ,http://www.facebook.com/157546340968012,http://twitter.com/MALIKAI,,Hip-Hop/Rap,http://www.mtv.com/artists/malikai/biography
 Ro Music ,http://www.facebook.com/320053098063073,http://twitter.com/Support_RoMusic,http://www.reverbnation.com/supportromusic,Hip-Hop/Rap,http://www.mtv.com/artists/ro-music/biography
 Black Casino ,http://www.facebook.com/184913741609561,http://twitter.com/BLVCKCVSINO,,Hip-Hop,http://www.mtv.com/artists/black-casino/biography
 John Thayer ,http://www.facebook.com/427553534020493,http://www.twitter.com/johnthayermusic,http://www.johnthayermusic.com,Contemporary Singer/Songwriter,http://www.mtv.com/artists/john-thayer/biography
 Terry Campbell ,,,,,http://www.cmt.com/artists/terry-campbell/biography
 Flula Borg ,http://www.facebook.com/flulaborg,http://www.twitter.com/http://www.flula.de,http://flulaborg.com,Techno,http://www.mtv.com/artists/flula-borg/biography
 AmritaSoon ,http://www.facebook.com/124553250938961,,,Contemporary Country,http://www.cmt.com/artists/amritasoon/biography
 Phil Vandel ,http://www.facebook.com/philvandelband,http://www.twitter.com/philvandel,http://www.philvandel.com,Contemporary Country,http://www.cmt.com/artists/phil-vandel/biography
 Night Riots ,http://www.facebook.com/nightriots,,http://www.nightriots.com,Indie Rock,http://www.mtv.com/artists/night-riots/biography
 Andras Fixler ,http://www.facebook.com/173267616091899,http://www.twitter.com/http://act.andrasfixler.com/saytheword,http://www.andrasfixler.com/,Pop,http://www.mtv.com/artists/andras-fixler/biography
 Dylan Scott ,,http://www.twitter.com/http://www.dylanscottmusic.com,http://dylanscottmusic.com/,Country,http://www.mtv.com/artists/dylan-scott/biography
 Asia Anastasia ,,http://www.twitter.com/http://asiaanastasia.com,http://asiaanastasia.com,Hip-Hop/Rap,http://www.mtv.com/artists/asia-anastasia/biography
 Aesop Rock ,http://www.facebook.com/329082107141143,http://www.twitter.com/http://aesoprock.com/,,Hip-Hop/Rap,http://www.mtv.com/artists/aesop-rock/biography
 LaWanda Lee ,http://www.facebook.com/pages/LaWanda-Lee/108582875859735,http://twitter.com/LaWandaLee,http://lawandalee.blogspot.com,R&B/Soul,http://www.mtv.com/artists/lawanda-lee/biography
 Flume ,http://www.facebook.com/193845343984168,http://www.twitter.com/flumemusic,http://flumemusic.com,Electronic,http://www.mtv.com/artists/flume/biography
 CrowxClass ,,,http://crowclass.net/wordpress/,Japan,http://www.mtv.com/artists/crowxclass/biography
" Mr. Raleigh, NC ",http://www.facebook.com/137184396363397,http://www.twitter.com/http://Facebook.com/mrraleighnc,http://www.youtube.com/user/MrRaleighNCisHere,Hip-Hop,http://www.mtv.com/artists/mr-raleigh-nc/biography
 Rich Vuitton  ,http://www.facebook.com/455422714494666,http://www.twitter.com/http://www.mtv.com/artists/rich-vuitton,,Hip-Hop/Rap,http://www.mtv.com/artists/rich-vuitton/biography
 Mzungu Kichaa ,http://www.facebook.com/mzungukichaa,http://twitter.com/mzungukichaa,,Africa,http://www.mtv.com/artists/mzungu-kichaa/biography
 Marie Miller ,http://www.facebook.com/mariemillermusic,http://www.twitter.com/http://mariemiller.net,http://www.mariemiller.net/,Singer/Songwriter,http://www.mtv.com/artists/marie-miller/biography
 NIKO IS ,,http://www.twitter.com/http://www.nusouthmusic.net,http://www.nikoismusic.com,Hip-Hop,http://www.mtv.com/artists/niko-is/biography
 Maiden Dixie ,http://www.facebook.com/153214951412754,http://twitter.com/MaidenDixieBand,http://www.maidendixie.com,Alternative Country,http://www.cmt.com/artists/maiden-dixie/biography
 Leisa Johnson ,,,,,http://www.mtv.com/artists/leisa-johnson-1/biography
 Jo FloWroshus ,,http://www.twitter.com/joflowroshus,http://www.JoFloWroshus.com,Rap,http://www.mtv.com/artists/jo-flowroshus-1/biography
 Ya Boi B ,,http://twitter.com/ThaReal_Boi_B,http://under contruction,Hip-Hop,http://www.mtv.com/artists/ya-boi-b/biography
 Sean Costanza ,http://www.facebook.com/198546220188021,http://twitter.com/seancostanza,http://www.seancostanza.com,Alternative Country,http://www.cmt.com/artists/sean-costanza/biography
 RDGLDGRN ,http://www.facebook.com/164228760334039,http://www.twitter.com/rdgldgrn,http://www.RDGLDGRN.com,Alternative,http://www.mtv.com/artists/rdgldgrn/biography
 B.Morgan ,http://facebook.com/b.morganofcourse,http://www.twitter.com/http://www.Facebook.com/B.morganOfcourse,,R&B/Soul,http://www.mtv.com/artists/bmorgan/biography
 Prince Pope ,,,http://www.iamprinceraypope.com,Hip-Hop/Rap,http://www.mtv.com/artists/prince-pope/biography
 Kayla Brianna ,,,,R&B/Soul,http://www.mtv.com/artists/kayla-brianna/biography
